"input","stem"
"cómodo","comod"
"compadecerse","compadec"
"compasión","compasion"
"compensar","compens"
"competente","competent"
"competitivo","competit"
"complacer","complac"
"complejo","complej"
"complemento","complement"
"complicar","complic"
"comprender","comprend"
"compromiso","compromis"
"conciliar","concili"
"conciso","concis"
"condenable","conden"
"conferencia","conferent"
"confesar","confes"
"confianza","confianz"
"confiar","confi"
"confidente","confident"
"configurar","configur"
"conflicto","conflict"
"confrontar","confront"
"confundir","confund"
"confusión","confusion"
"conmoción","conmocion"
"conmovedor","conmovedor"
"conoce","conoc"
"conquistar","conquist"
"consciente","conscient"
"consentimiento","consent"
"consideración","consider"
"consistente","consistent"
"conspiración","conspir"
"constante","constant"
"consternación","constern"
"constructivo","construct"
"consuelo","consuel"
"consumir","consum"
"contagioso","contagi"
"contaminar","contamin"
"contar","cont"
"contenido","conten"
"contento","content"
"continuidad","continu"
"contra","contr"
"contradecir","contradec"
"contraproducente","contraproducent"
"contrario","contrari"
"contribucion","contribucion"
"controlar","control"
"controversia","controversi"
"convencer","convenc"
"conveniente","convenient"
"convenir","conven"
"conviccion","conviccion"
"convincente","convincent"
"cooperar","cooper"
"copia","copi"
"coquetear","coquet"
"cordial","cordial"
"cordura","cordur"
"correcto","correct"
"corregir","correg"
"corromper","corromp"
"corrupción","corrupcion"
"corrupto","corrupt"
"cortar","cort"
"cortejar","cortej"
"cortés","cortes"
"costoso","costos"
"cotidiano","cotidian"
"creativo","creativ"
"creciente","crecient"
"crédulo","credul"
"creencia","creenci"
"creíble","creibl"
"creer","cre"
"crisis","crisis"
"debería","deb"
"critica","critic"
"crónico","cronic"
"cruel","cruel"
"cuestionable","cuestion"
"cuidado","cuid"
"culpa","culp"
"cumple","cumpl"
"curioso","curios"
"cursi","cursi"
"daño","dañ"
"débil","debil"
"debe","deb"
"decaído","decaid"
"decente","decent"
"decepción","decepcion"
"decisión","decision"
"declinar","declin"
"decrecer","decrec"
"decrépito","decrepit"
"dedica","dedic"
"defecto","defect"
"defender","defend"
"deficiencia","deficient"
"definido","defin"
"definitivo","definit"
"deformar","deform"
"defraudación","defraud"
"degeneración","degener"
"degradar","degrad"
"dejar","dej"
"satisfacción","satisfaccion"
"deleite","deleit"
"delicado","delic"
"delincuente","delincuent"
"delirio","deliri"
"delito","delit"
"demacrado","demacr"
"demente","dement"
"demoníaco","demoniac"
"demuestra","demuestr"
"denigrar","denigr"
"deplorar","deplor"
"depravado","deprav"
"deprimido","deprim"
"derecho","derech"
"desacreditar","desacredit"
"desacuerdo","desacuerd"
"desafecto","desafect"
"desafiar","desafi"
"desafortunado","desafortun"
"desagradar","desagrad"
"desahogarse","desahog"
"desaire","desair"
"desalentar","desalent"
"desalmado","desalm"
"desamparar","desampar"
"desanimado","desanim"
"desánimo","desanim"
"desaparecer","desaparec"
"desaprobar","desaprob"
"desarmar","desarm"
"desarrolla","desarroll"
"desastre","desastr"
"desatinado","desatin"
"desautorizar","desautoriz"
"descabellado","descabell"
"descanso","descans"
"descarado","descar"
"descomponer","descompon"
"desconcertar","desconcert"
"desconfianza","desconfi"
"desconoce","desconoc"
"desconsiderado","desconsider"
"desconsolado","desconsol"
"desconsuelo","desconsuel"
"descontento","descontent"
"descorazonar","descorazon"
"descortés","descortes"
"descuido","descu"
"desdeñar","desdeñ"
"altanero","altaner"
"desear","des"
"desempeño","desempeñ"
"desenfoque","desenfoqu"
"desenmarañar","desenmarañ"
"deseo","dese"
"deserción","desercion"
"desesperación","desesper"
"desestabilización","desestabiliz"
"desfachatez","desfachatez"
"desfallecer","desfallec"
"desfavorecer","desfavorec"
"desgastar","desgast"
"desgraciado","desgraci"
"deshacer","deshac"
"deshecho","deshech"
"deshizo","deshiz"
"deshonesto","deshonest"
"deshonrado","deshonr"
"deshumanizar","deshumaniz"
"desigual","desigual"
"desilusión","desilusion"
"desinformado","desinform"
"desintegración","desintegr"
"desinterés","desinteres"
"desleal","desleal"
"deslumbrante","deslumbr"
"desliz","desliz"
"deslumbrar","deslumbr"
"desmayo","desmay"
"desmentir","desment"
"desmoronarse","desmoron"
"desmotiva","desmot"
"desobedecer","desobedec"
"desolación","desol"
"desorden","desord"
"desorganización","desorganiz"
"desorientar","desorient"
"despacio","despaci"
"despectivo","despect"
"desperdicio","desperdici"
"desperfecto","desperfect"
"despertar","despert"
"despiadado","despiad"
"despilfarro","despilfarr"
"desplazar","desplaz"
"despojar","despoj"
"déspota","despot"
"despotricar","despotric"
"despreciar","despreci"
"despreocupación","despreocup"
"desprevenido","despreven"
"desproporcionado","desproporcion"
"desprovisto","desprovist"
"destacable","destac"
"destartalado","destartal"
"destellar","destell"
"destinar","destin"
"destreza","destrez"
"destructivo","destruct"
"destruir","destru"
"desunión","desunion"
"desvalido","desval"
"desvanecimiento","desvanec"
"desvarío","desvari"
"desventaja","desventaj"
"desvergonzado","desvergonz"
"desvergüenza","desvergüenz"
"desviar","desvi"
"deterioro","deterior"
"determinación","determin"
"detestar","detest"
"devastar","devast"
"devoción","devocion"
"diablo","diabl"
"diablura","diablur"
"diabólico","diabol"
"dichoso","dichos"
"dictador","dictador"
"didáctica","didact"
"difamar","difam"
"dif­ícil","dif­icil"
"diferente","diferent"
"diferir","difer"
"dificultad","dificult"
"dignidad","dignid"
"dignificar","dignific"
"digno","dign"
"dilema","dilem"
"diligencia","diligent"
"diminuto","diminut"
"dinámico","dinam"
"diplomático","diplomat"
"discapacitado","discapacit"
"disciplina","disciplin"
"discordia","discordi"
"discreción","discrecion"
"discreto","discret"
"discriminar","discrimin"
"discutir","discut"
"disfrutar","disfrut"
"disgustar","disgust"
"disimular","disimul"
"disminuir","disminu"
"disparate","disparat"
"disponbilidad","disponbil"
"disposición","disposicion"
"dispuesto","dispuest"
"disputa","disput"
"distanciado","distanci"
"distinción","distincion"
"distinguir","distingu"
"distinto","distint"
"distorsión","distorsion"
"distracción","distraccion"
"distraer","distr"
"distraído","distraid"
"disturbio","disturbi"
"disuadir","disuad"
"divagar","divag"
"diversificado","diversific"
"diversión","diversion"
"divertir","divert"
"dividir","divid"
"divino","divin"
"divisible","divis"
"división","division"
"divorciado","divorci"
"doblado","dobl"
"dócil","docil"
"doler","dol"
"dolor","dolor"
"dominar","domin"
"dominio","domini"
"drama","dram"
"drástico","drastic"
"adecuado","adecu"
"droga","drog"
"duda","dud"
"duelo","duel"
"dulce","dulc"
"dulzura","dulzur"
"durable","durabl"
"duradero","durader"
"educado","educ"
"atrasado","atras"
"efectivo","efect"
"eficacia","eficaci"
"eficaz","eficaz"
"eficiente","eficient"
"atrasado","atras"
"efusivo","efus"
"ego","ego"
"egocéntrico","egocentr"
"egoísta","egoist"
"ególatra","egolatr"
"ejemplar","ejempl"
"ejemplificar","ejemplific"
"elegancia","eleg"
"elegante","eleg"
"elegible","eleg"
"elevar","elev"
"eliminar","elimin"
"elitista","elit"
"elocuencia","elocuent"
"elogiar","elogi"
"eludir","elud"
"embarazoso","embaraz"
"embellecer","embellec"
"embrollo","embroll"
"embrutecer","embrutec"
"embustero","embuster"
"eminencia","eminent"
"emoción","emocion"
"empalagoso","empalag"
"empatía","empat"
"empático","empat"
"empeño","empeñ"
"empeorar","empeor"
"empequeñecer","empequeñec"
"emprendedor","emprendedor"
"enano","enan"
"encantar","encant"
"encojerse","encoj"
"endulzar","endulz"
"enemigo","enemig"
"enemistad","enemist"
"enérgico","energ"
"energizar","energiz"
"enervante","enerv"
"enfado","enfad"
"enfático","enfat"
"enfermar","enferm"
"enfermedad","enfermed"
"enfermizo","enfermiz"
"enfermo","enferm"
"enfurecer","enfurec"
"engañar","engañ"
"engatusar","engatus"
"engreído","engreid"
"enloquecer","enloquec"
"enojo","enoj"
"enriquecer","enriquec"
"enseña","enseñ"
"entender","entend"
"entrega","entreg"
"entretener","entreten"
"entrometido","entromet"
"entusiasta","entusiast"
"envidia","envidi"
"equitativo","equit"
"equivoca","equivoc"
"errar","errar"
"error","error"
"escandalizar","escandaliz"
"escaso","escas"
"esclavizar","esclaviz"
"escoria","escori"
"escrúpulos","escrupul"
"esencial","esencial"
"esfuerza","esfuerz"
"esmerado","esmer"
"espantar","espant"
"especial","especial"
"espectacular","espectacul"
"espléndido","esplend"
"esporádico","esporad"
"estable","establ"
"estafar","estaf"
"estancarse","estanc"
"estar","estar"
"acechar","acech"
"estático","estat"
"estereotipo","estereotip"
"estimular","estimul"
"estrés","estres"
"estricto","estrict"
"estropear","estrop"
"estudio","estudi"
"estupendo","estupend"
"estupidez","estupidez"
"eternidad","etern"
"ético","etic"
"agotador","agot"
"evadir","evad"
"evasivo","evas"
"evidente","evident"
"evitar","evit"
"exagerar","exager"
"exaltar","exalt"
"exceder","exced"
"excelente","excelent"
"excéntrico","excentr"
"excepcional","excepcional"
"excesivo","exces"
"excluir","exclu"
"excusa","excus"
"exhaustivo","exhaust"
"exige","exig"
"éxito","exit"
"exorbitante","exorbit"
"experto","expert"
"explícito","explicit"
"práctico","practic"
"explotar","explot"
"expresivo","expres"
"expuesto","expuest"
"expulsar","expuls"
"extendido","extend"
"extorsionar","extorsion"
"extraño","extrañ"
"extraordinario","extraordinari"
"extravagante","extravag"
"extravío","extravi"
"extremo","extrem"
"extrovertida","extrovert"
"exuberante","exuber"
"fabuloso","fabul"
"fácil","facil"
"fascinación","fascin"
"factible","factibl"
"fallo","fall"
"falta","falt"
"fanfarrón","fanfarron"
"fantástico","fantast"
"farsa","fars"
"fascinar","fascin"
"fastidiar","fastidi"
"fatal","fatal"
"fatiga","fatig"
"favorecer","favorec"
"favoritismo","favorit"
"felicitar","felicit"
"feliz","feliz"
"fenomenal","fenomenal"
"feo","feo"
"fervor","fervor"
"festivo","festiv"
"fiable","fiabl"
"fiasco","fiasc"
"ficticio","fictici"
"fidelidad","fidel"
"fingir","fing"
"firme","firm"
"flojo","floj"
"fluido","flu"
"fobia","fobi"
"fomentar","foment"
"forcejeo","forceje"
"forjado","forj"
"fortuito","fortuit"
"fortuna","fortun"
"fracaso","fracas"
"frágil","fragil"
"franco","franc"
"fraudulento","fraudulent"
"frenético","frenet"
"fríamente","friament"
"frío","fri"
"frívolo","frivol"
"fructuoso","fructuos"
"frustrar","frustr"
"fuerte","fuert"
"pésima","pesim"
"fulminar","fulmin"
"funcional","funcional"
"furioso","furios"
"galantemente","galant"
"ganas","gan"
"nunca","nunc"
"ganga","gang"
"generosidad","gener"
"genial","genial"
"genio","geni"
"genuino","genuin"
"golpe","golp"
"gordo","gord"
"gracioso","gracios"
"gráfico","grafic"
"grandioso","grandios"
"gratificar","gratific"
"grave","grav"
"pobre","pobr"
"grosero","groser"
"gustoso","gustos"
"hábil","habil"
"hartar","hart"
"hostil","hostil"
"improvisado","improvis"
"humilde","humild"
"humillar","humill"
"humor","humor"
"ideal","ideal"
"imparcial","imparcial"
"imparte","impart"
"imprudente","imprudent"
"inaceptable","inacept"
"inadaptado","inadapt"
"inadvertido","inadvert"
"inaguantable","inaguant"
"inatacable","inatac"
"incalculable","incalcul"
"incapaz","incapaz"
"incauto","incaut"
"incierto","inciert"
"incitar","incit"
"incluso","inclus"
"incómodo","incomod"
"incompatible","incompat"
"incompleto","incomplet"
"incomprensible","incomprens"
"inconcebible","inconceb"
"inconcluso","inconclus"
"incondicional","incondicional"
"inconsistence","inconsistenc"
"inconstitucional","inconstitucional"
"inconveniente","inconvenient"
"incorruptible","incorrupt"
"incrédulo","incredul"
"increíble","increibl"
"incuestionable","incuestion"
"incumplido","incumpl"
"indebido","indeb"
"indeciso","indecis"
"indefensible","indefens"
"indefinido","indefin"
"indeseable","indes"
"indestructible","indestruct"
"indeterminado","indetermin"
"indiferente","indiferent"
"indigencia","indigent"
"indignante","indign"
"indiscreto","indiscret"
"indiscutible","indiscut"
"indispensable","indispens"
"indispuesto","indispuest"
"indisputable","indisput"
"indistinto","indistint"
"individualidad","individual"
"indomable","indom"
"indudable","indud"
"ineficacia","ineficaci"
"ineficiencia","ineficient"
"ineligible","inelig"
"inelocuente","inelocuent"
"ineludiblemente","inelud"
"ineptitud","ineptitud"
"inequidades","inequ"
"inequívoco","inequivoc"
"inercia","inerci"
"inescapable","inescap"
"inesencial","inesencial"
"inesperado","inesper"
"inestabilidad","inest"
"inestimable","inestim"
"inevitable","inevit"
"inexacto","inexact"
"inexcusable","inexcus"
"inexistente","inexistent"
"inexperto","inexpert"
"inexplicable","inexplic"
"infalible","infal"
"infame","infam"
"infeliz","infeliz"
"inferioridad","inferior"
"infernal","infernal"
"infestar","infest"
"infiltrado","infiltr"
"inflexible","inflex"
"influyente","influyent"
"informativo","inform"
"infortunio","infortuni"
"infracción","infraccion"
"infringir","infring"
"infundado","infund"
"ingenioso","ingeni"
"ingenuo","ingenu"
"ingobernable","ingobern"
"ingratitud","ingratitud"
"inhibir","inhib"
"inhumano","inhuman"
"inicuo","inicu"
"inimaginable","inimagin"
"injusto","injust"
"inmóvil","inmovil"
"inmundo","inmund"
"innecesario","innecesari"
"innovador","innov"
"inocente","inocent"
"inofensivo","inofens"
"inolvidable","inolvid"
"inombrable","inombr"
"inoportuno","inoportun"
"inquietud","inquietud"
"inquisitivo","inquisit"
"inseguridad","insegur"
"insensibilidad","insensibil"
"insensible","insens"
"insignificancia","insignif"
"insinceridad","insincer"
"insinuar","insinu"
"insistir","insist"
"insociable","insoci"
"insolente","insolent"
"insolvente","insolvent"
"insoportable","insoport"
"insopotable","insopot"
"insostenible","insosten"
"inspirar","inspir"
"instigar","instig"
"insubordinado","insubordin"
"insuficiente","insuficient"
"insufrible","insufr"
"insultante","insult"
"insuperable","insuper"
"integridad","integr"
"inteligente","inteligent"
"inteligible","intelig"
"intencionadamente","intencion"
"interceder","interced"
"interes","inter"
"interferir","interfer"
"interrumpir","interrump"
"intimidación","intimid"
"intimidad","intim"
"intimidar","intimid"
"intolerable","intoler"
"intranquilo","intranquil"
"intransigente","intransigent"
"intratable","intrat"
"intrigante","intrig"
"intuitivo","intuit"
"inusual","inusual"
"inútil","inutil"
"invadir","invad"
"invalidar","invalid"
"invaluable","invalu"
"invencible","invenc"
"inviolable","inviol"
"involuntario","involuntari"
"ira","ira"
"irónico","iron"
"irracional","irracional"
"irrazonable","irrazon"
"irreconciliable","irreconcili"
"irreflexión","irreflexion"
"irrefutable","irrefut"
"irregular","irregul"
"irrelevante","irrelev"
"irreprochable","irreproch"
"irresistible","irresist"
"irrespetuoso","irrespetu"
"irresponsable","irrespons"
"irreverente","irreverent"
"irritar","irrit"
"jovial","jovial"
"jubilar","jubil"
"juicioso","juicios"
"justo","just"
"laborioso","labori"
"lamentar","lament"
"lastima","lastim"
"leal","leal"
"legal","legal"
"lento","lent"
"leve","lev"
"liberar","liber"
"libertad","libert"
"silencioso","silenci"
"líder","lid"
"ligero","liger"
"límite","limit"
"linda","lind"
"listo","list"
"llamativo","llamat"
"llorar","llor"
"locura","locur"
"lógico","logic"
"lograr","logr"
"luchar","luch"
"lúcido","luc"
"lujo","luj"
"lunático","lunat"
"macabro","macabr"
"machista","machist"
"maduro","madur"
"magnífico","magnif"
"magro","magr"
"mal","mal"
"maldito","maldit"
"malentendido","malentend"
"malestar","malest"
"malhumorado","malhumor"
"malo","mal"
"maloliente","malolient"
"maltratar","maltrat"
"malvados","malv"
"manchar","manch"
"mandato","mandat"
"maneja","manej"
"maníaco","maniac"
"manipular","manipul"
"maravilla","maravill"
"martirio","martiri"
"mejor","mejor"
"melancólico","melancol"
"melodramático","melodramat"
"memorable","memor"
"menospreciar","menospreci"
"mentir","ment"
"merecer","merec"
"meticuloso","meticul"
"miedoso","miedos"
"mimar","mim"
"miserable","miser"
"misericordioso","misericordi"
"misterio","misteri"
"moderado","moder"
"modesto","modest"
"mofarse","mof"
"mojigato","mojigat"
"molestar","molest"
"monótono","monoton"
"monstruoso","monstruos"
"moral","moral"
"mortificar","mortific"
"motiva","motiv"
"mugre","mugr"
"nada","nad"
"necedad","neced"
"necesita","necesit"
"necio","neci"
"negativo","negat"
"negligente","negligent"
"nervios","nervi"
"neurótico","neurot"
"nop","nop"
"noble","nobl"
"notorio","notori"
"obedecer","obedec"
"obligar","oblig"
"obsceno","obscen"
"obsesión","obsesion"
"obsoleto","obsolet"
"obstruir","obstru"
"ocupado","ocup"
"odioso","odios"
"ofender","ofend"
"olvida","olvid"
"omitir","omit"
"oportunidad","oportun"
"oposición","oposicion"
"óptima","optim"
"optimista","optim"
"ordenar","orden"
"orgullo","orgull"
"ostiga","ostig"
"peor","peor"
"perdedor","perdedor"
"perezoso","perez"
"perfección","perfeccion"
"perjudica","perjud"
"perplejo","perplej"
"perro","perr"
"perseverar","persever"
"persistente","persistent"
"perspicaz","perspicaz"
"persuadir","persuad"
"pertinente","pertinent"
"pervertido","pervert"
"pesado","pes"
"pesimo","pesim"
"pierde","pierd"
"planea","plane"
"positivo","posit"
"preferencia","preferent"
"presumido","presum"
"prudente","prudent"
"puntual","puntual"
"queja","quej"
"rebelde","rebeld"
"reclamar","reclam"
"reforzar","reforz"
"refutar","refut"
"regaña","regañ"
"relajo","relaj"
"rencor","rencor"
"reniega","renieg"
"renovarse","renov"
"represalías","represal"
"reproche","reproch"
"repugnante","repugn"
"repulsivo","repuls"
"resentido","resent"
"respetuoso","respetu"
"responsable","respons"
"resuelve","resuelv"
"retraso","retras"
"retroalimenta","retroaliment"
"revoltoso","revolt"
"ridículo","ridicul"
"sarcástico","sarcast"
"selectivo","select"
"sencillo","sencill"
"sensato","sensat"
"sensible","sensibl"
"serio","seri"
"sermonear","sermon"
"sobresaliente","sobresalient"
"solidario","solidari"
"soportable","soport"
"suave","suav"
"subestimar","subestim"
"sucio","suci"
"sueño","sueñ"
"suficiente","suficient"
"súper","sup"
"superficial","superficial"
"superior","superior"
"sutil","sutil"
"tacto","tact"
"talento","talent"
"tarda","tard"
"tartamudea","tartamude"
"tediosa","tedios"
"temible","temibl"
"temor","temor"
"temperamental","temperamental"
"tenaz","tenaz"
"tenso","tens"
"terco","terc"
"ternura","ternur"
"terrible","terribl"
"terror","terror"
"testarudo","testarud"
"tétrico","tetric"
"tierno","tiern"
"timador","timador"
"tímido","tim"
"tiranía","tiran"
"tolerar","toler"
"tonto","tont"
"torpe","torp"
"tortura","tortur"
"tosco","tosc"
"trabajador","trabaj"
"traidor","traidor"
"trampa","tramp"
"tranquilo","tranquil"
"transmite","transmit"
"trastornar","trastorn"
"trata","trat"
"traumar","traum"
"travieso","travies"
"tristeza","tristez"
"último","ultim"
"útil","util"
"vago","vag"
"valiente","valient"
"valor","valor"
"vanguardia","vanguardi"
"vanidad","vanid"
"venerable","vener"
"venerar","vener"
"vengar","veng"
"ventaja","ventaj"
"verdad","verd"
"vergüenza","vergüenz"
"víbora","vibor"
"vicio","vici"
"víctima","victim"
"vil","vil"
"volátil","volatil"
"vulgar","vulg"
"vulnerable","vulner"
"zoquete","zoquet"
"aburrida","aburr"
"sabe","sab"
"primeriza","primeriz"
"demostrar","demostr"
"pega","peg"
